interaction,user_id,date
application,140,9/21/2024
career_fair,2,9/8/2024
job_view,47,3/23/2024
message_open,132,9/16/2024
apply_start_start,18,11/27/2024
apply_start_start,178,3/13/2024
page_view,101,1/22/2024
career_fair,138,2/28/2025
event,23,7/7/2024
page_view,68,1/29/2025
page_view,71,3/10/2024
message_open,54,2/22/2025
career_fair,65,12/29/2024
page_view,186,12/1/2024
event,104,1/13/2025
apply_start_start,9,1/17/2024
apply_start_start,190,2/2/2024
application,35,12/4/2024
job_view,200,6/22/2024
event,1,6/3/2024
page_view,163,11/27/2024
page_view,129,8/16/2024
page_view,181,2/13/2025
apply_start_start,167,9/29/2024
application,100,10/13/2024
application,69,6/28/2024
event,70,3/18/2024
event,66,1/22/2024
event,52,8/2/2024
page_view,78,11/8/2024
job_view,108,2/19/2025
career_fair,55,6/15/2024
message_open,36,9/7/2024
message_open,16,6/12/2024
career_fair,156,5/24/2024
career_fair,136,10/6/2024
message_open,114,8/22/2024
message_open,66,6/7/2024
page_view,170,4/2/2024
career_fair,6,4/22/2024
application,198,5/31/2024
message_open,88,3/10/2024
career_fair,115,1/12/2024
event,107,10/31/2024
page_view,99,3/2/2024
application,37,2/17/2024
application,111,12/10/2024
job_view,72,7/27/2024
page_view,108,5/11/2024
job_view,38,7/30/2024
apply_start_start,5,2/21/2025
page_view,30,7/3/2024
event,159,3/20/2024
message_open,151,10/8/2024
event,104,9/5/2024
message_open,42,2/28/2024
event,119,5/18/2024
page_view,47,3/27/2024
message_open,98,8/3/2024
event,20,5/3/2024
apply_start_start,198,10/18/2024
job_view,76,4/19/2024
career_fair,92,10/18/2024
job_view,112,3/29/2024
job_view,87,6/13/2024
message_open,5,5/14/2024
message_open,37,5/18/2024
career_fair,18,6/25/2024
application,26,7/14/2024
event,184,4/22/2024
application,70,6/2/2024
job_view,133,5/22/2024
event,77,2/15/2025
message_open,105,11/1/2024
apply_start_start,154,2/9/2025
career_fair,153,2/1/2025
apply_start_start,20,4/14/2024
apply_start_start,192,3/1/2024
event,142,8/29/2024
apply_start_start,174,6/17/2024
event,73,7/4/2024
career_fair,128,8/31/2024
event,185,4/29/2024
message_open,78,11/8/2024
application,72,8/11/2024
event,49,5/6/2024
career_fair,35,5/14/2024
career_fair,42,9/8/2024
application,69,2/16/2025
page_view,52,4/22/2024
message_open,121,7/14/2024
message_open,127,5/14/2024
apply_start_start,33,10/26/2024
job_view,122,8/18/2024
apply_start_start,12,1/22/2025
application,2,12/18/2024
event,188,10/20/2024
event,43,10/6/2024
page_view,119,6/1/2024
application,178,11/1/2024
application,139,7/11/2024
event,192,4/2/2024
career_fair,141,8/2/2024
application,19,7/14/2024
event,135,2/28/2025
career_fair,176,1/2/2025
apply_start_start,101,2/18/2024
event,168,10/4/2024
event,118,5/21/2024
message_open,184,3/13/2024
event,189,9/11/2024
application,87,10/20/2024
page_view,114,5/20/2024
event,43,12/21/2024
page_view,96,9/7/2024
career_fair,35,5/22/2024
career_fair,168,1/25/2024
career_fair,61,3/1/2024
event,183,7/13/2024
job_view,47,4/16/2024
career_fair,10,12/9/2024
event,88,7/17/2024
apply_start_start,18,11/11/2024
career_fair,135,10/15/2024
application,8,2/12/2025
application,118,5/4/2024
apply_start_start,200,8/6/2024
message_open,177,2/9/2024
event,80,8/5/2024
job_view,133,1/22/2024
job_view,59,4/2/2024
job_view,23,12/4/2024
event,83,8/24/2024
apply_start_start,175,1/6/2025
event,159,4/22/2024
page_view,40,4/16/2024
job_view,54,5/16/2024
page_view,30,4/9/2024
event,81,10/10/2024
page_view,126,1/8/2024
application,37,4/13/2024
career_fair,25,5/11/2024
page_view,34,4/13/2024
apply_start_start,190,2/21/2024
message_open,174,9/10/2024
career_fair,8,12/21/2024
event,85,9/22/2024
event,107,12/18/2024
career_fair,30,8/21/2024
page_view,144,3/12/2024
job_view,199,1/10/2024
message_open,102,11/12/2024
page_view,184,2/20/2024
event,144,3/20/2024
event,45,2/2/2025
message_open,159,7/17/2024
job_view,104,7/18/2024
page_view,92,12/12/2024
application,198,6/19/2024
event,40,2/3/2025
message_open,104,1/25/2024
page_view,40,12/13/2024
application,82,1/15/2024
message_open,104,2/7/2024
message_open,89,12/1/2024
apply_start_start,136,10/28/2024
message_open,167,3/11/2024
apply_start_start,138,5/5/2024
job_view,84,1/15/2025
application,14,10/20/2024
career_fair,172,9/13/2024
career_fair,50,10/20/2024
message_open,147,7/9/2024
apply_start_start,17,9/24/2024
career_fair,95,2/12/2024
career_fair,70,6/18/2024
apply_start_start,90,9/5/2024
event,199,5/8/2024
apply_start_start,45,7/5/2024
job_view,185,4/21/2024
apply_start_start,140,5/11/2024
message_open,84,5/14/2024
apply_start_start,41,3/16/2024
apply_start_start,131,12/15/2024
message_open,5,5/26/2024
career_fair,173,5/7/2024
message_open,197,7/17/2024
career_fair,155,12/14/2024
application,33,2/12/2025
apply_start_start,29,5/5/2024
event,25,1/12/2024
page_view,180,10/26/2024
apply_start_start,200,1/10/2025
job_view,179,7/31/2024
career_fair,152,5/12/2024
apply_start_start,101,5/7/2024
message_open,200,5/19/2024
application,138,1/4/2025
application,167,3/18/2024
apply_start_start,164,2/22/2025
message_open,59,2/20/2025
career_fair,87,7/4/2024
message_open,194,12/23/2024
page_view,110,7/19/2024
job_view,162,4/27/2024
event,198,8/25/2024
job_view,123,10/9/2024
apply_start_start,182,9/16/2024
event,19,10/4/2024
apply_start_start,53,12/5/2024
message_open,21,8/25/2024
event,49,5/21/2024
event,115,7/26/2024
application,66,7/14/2024
apply_start_start,88,1/22/2025
page_view,111,5/8/2024
message_open,95,6/23/2024
apply_start_start,105,6/28/2024
career_fair,34,12/14/2024
job_view,43,10/10/2024
career_fair,79,4/11/2024
job_view,148,5/12/2024
page_view,105,2/27/2024
application,45,10/1/2024
career_fair,161,4/25/2024
page_view,145,10/11/2024
message_open,8,3/29/2024
career_fair,62,11/3/2024
job_view,126,1/25/2025
job_view,94,4/18/2024
message_open,53,8/24/2024
application,75,9/20/2024
message_open,63,8/25/2024
application,73,6/4/2024
message_open,159,8/20/2024
career_fair,173,3/14/2024
event,11,6/21/2024
application,52,8/8/2024
apply_start_start,157,3/16/2024
job_view,156,1/7/2025
page_view,115,10/9/2024
page_view,21,10/4/2024
application,64,6/16/2024
apply_start_start,37,12/12/2024
application,186,9/12/2024
page_view,91,9/12/2024
apply_start_start,96,2/22/2025
event,91,5/9/2024
application,173,5/5/2024
application,126,6/13/2024
job_view,141,2/27/2025
page_view,89,11/8/2024
application,198,11/26/2024
message_open,33,9/14/2024
apply_start_start,38,11/14/2024
application,83,11/1/2024
job_view,133,1/1/2025
career_fair,101,2/11/2025
apply_start_start,40,1/21/2024
event,92,12/5/2024
message_open,153,8/21/2024
application,5,12/20/2024
apply_start_start,196,12/27/2024
event,177,11/17/2024
career_fair,138,1/23/2024
job_view,149,10/19/2024
page_view,157,11/8/2024
application,7,11/12/2024
job_view,160,8/31/2024
application,55,12/14/2024
career_fair,117,11/16/2024
page_view,149,4/18/2024
page_view,54,11/17/2024
message_open,187,2/27/2024
job_view,137,1/9/2025
career_fair,155,4/23/2024
apply_start_start,134,5/19/2024
application,36,5/19/2024
job_view,10,2/5/2024
career_fair,56,10/29/2024
page_view,200,12/26/2024
page_view,199,2/23/2025
event,50,4/5/2024
career_fair,122,12/4/2024
apply_start_start,159,9/3/2024
event,7,2/6/2024
event,27,6/25/2024
application,114,9/21/2024
page_view,168,8/16/2024
page_view,13,6/7/2024
apply_start_start,20,2/14/2024
career_fair,89,1/27/2025
page_view,103,6/1/2024
apply_start_start,56,4/13/2024
apply_start_start,83,4/14/2024
career_fair,18,12/3/2024
page_view,55,4/21/2024
career_fair,4,11/26/2024
career_fair,102,2/10/2024
career_fair,126,10/7/2024
message_open,183,8/29/2024
event,85,12/5/2024
application,55,11/14/2024
page_view,57,1/17/2025
event,15,5/24/2024
apply_start_start,118,1/6/2025
message_open,67,6/15/2024
apply_start_start,41,2/7/2025
page_view,72,8/25/2024
page_view,175,8/10/2024
page_view,30,4/26/2024
apply_start_start,52,1/16/2025
page_view,160,1/2/2025
message_open,32,2/11/2025
event,3,2/1/2025
job_view,18,3/14/2024
apply_start_start,143,4/26/2024
apply_start_start,165,2/18/2024
job_view,147,10/24/2024
apply_start_start,171,1/30/2024
event,26,8/25/2024
job_view,131,12/21/2024
career_fair,84,9/21/2024
event,133,8/11/2024
career_fair,138,12/6/2024
event,152,9/9/2024
apply_start_start,1,2/15/2024
apply_start_start,132,12/13/2024
event,126,8/26/2024
apply_start_start,24,5/3/2024
page_view,122,2/7/2024
page_view,93,8/11/2024
career_fair,179,7/9/2024
career_fair,73,3/29/2024
page_view,52,6/9/2024
