interaction,user_id,date
career_fair,14,2/29/2024
event,6,2/29/2024
apply_start,2,2/29/2024
apply_start,12,2/29/2024
event,16,2/29/2024
apply_start,7,2/29/2024
job_view,20,2/29/2024
page_view,20,2/29/2024
apply_start,15,2/29/2024
apply_start,6,2/29/2024
job_view,14,2/29/2024
job_view,15,2/29/2024
event,12,2/29/2024
job_view,5,2/29/2024
application,18,2/29/2024
page_view,7,2/28/2024
message_open,13,2/28/2024
apply_start,9,2/28/2024
page_view,13,2/28/2024
career_fair,1,2/28/2024
apply_start,10,2/28/2024
message_open,2,2/28/2024
page_view,17,2/28/2024
application,13,2/28/2024
job_view,16,2/28/2024
job_view,19,2/28/2024
career_fair,7,2/28/2024
application,19,2/28/2024
apply_start,18,2/27/2024
application,8,2/27/2024
career_fair,20,2/27/2024
application,10,2/27/2024
apply_start,3,2/27/2024
application,20,2/27/2024
application,7,2/27/2024
career_fair,6,2/27/2024
application,10,2/27/2024
job_view,17,2/27/2024
job_view,3,2/27/2024
career_fair,1,2/27/2024
career_fair,13,2/27/2024
job_view,6,2/27/2024
page_view,18,2/27/2024
page_view,12,2/27/2024
message_open,9,2/27/2024
job_view,9,2/27/2024
application,7,2/27/2024
application,19,2/26/2024
apply_start,6,2/26/2024
event,15,2/26/2024
application,9,2/26/2024
apply_start,9,2/26/2024
application,13,2/26/2024
career_fair,5,2/26/2024
page_view,1,2/26/2024
event,18,2/26/2024
apply_start,1,2/26/2024
message_open,17,2/26/2024
job_view,2,2/26/2024
event,17,2/26/2024
event,9,2/26/2024
event,6,2/26/2024
career_fair,11,2/26/2024
event,13,2/26/2024
event,14,2/26/2024
career_fair,6,2/25/2024
page_view,12,2/25/2024
application,18,2/25/2024
page_view,16,2/25/2024
career_fair,4,2/25/2024
page_view,14,2/25/2024
page_view,19,2/25/2024
apply_start,20,2/25/2024
application,6,2/25/2024
event,7,2/25/2024
page_view,2,2/25/2024
event,19,2/25/2024
message_open,1,2/25/2024
page_view,9,2/25/2024
message_open,6,2/25/2024
career_fair,12,2/25/2024
page_view,17,2/25/2024
message_open,8,2/25/2024
career_fair,11,2/25/2024
message_open,4,2/25/2024
message_open,5,2/25/2024
page_view,7,2/25/2024
career_fair,7,2/25/2024
apply_start,18,2/25/2024
apply_start,19,2/24/2024
career_fair,14,2/24/2024
message_open,19,2/24/2024
event,17,2/24/2024
application,12,2/24/2024
page_view,11,2/24/2024
message_open,17,2/24/2024
application,10,2/24/2024
application,2,2/24/2024
career_fair,5,2/24/2024
application,8,2/24/2024
message_open,18,2/24/2024
apply_start,11,2/24/2024
